Recording timestamp	type	Scene Name	scene_num	order	djv_reported	PupilDiam_Left	Gaze2d_Left.x	Gaze2d_Left.y	left_eye_openness	PupilDiam_Right	Gaze2d_Right.x	Gaze2d_Right.y	right_eye_openness	gaze_direction_x	gaze_direction_y	gaze_direction_z	gaze_origin_x	gaze_origin_y	gaze_origin_z	gaze_convergence_distance	participant	study_status	scene_familiarity	recall_status	Identifier	Event value	Event message
1702063065043	t	hottub_test_cue_flowerbed_left	0.0	1	0	3.4954	783.0719999999999	831.3599999999999	1.0	3.6343	821.52	1042.7199999999998	0.8985	-0.1541	-0.2286	0.9612	0.853	2.5369	-34.8339	0.0	26	0.0	0.0		1684	0	0
1702063065051	t	hottub_test_cue_flowerbed_left	0.0	1	0	3.4169	788.688	830.4	1.0	3.5109	823.536	1048.16	0.8985	-0.1585	-0.2335	0.9594	0.7656	2.5259	-34.8424	0.0	26	0.0	0.0		1684	0	0
1702063065060	t	hottub_test_cue_flowerbed_left	0.0	1	0	3.4205	804.528	831.6800000000001	1.0	3.6748	843.12	1052.1599999999999	0.9077	-0.1964	-0.2331	0.9524	0.8579	2.5137	-34.8719	0.0	26	0.0	0.0		1684	0	0
1702063065068	t	hottub_test_cue_flowerbed_left	0.0	1	0	3.488	820.656	842.0799999999999	1.0	3.7163	857.952	1057.12	0.9083	-0.2305	-0.2515	0.94	0.8748	2.5043	-34.9054	0.0	26	0.0	0.0		1684	0	0
1702063065076	t	hottub_test_cue_flowerbed_left	0.0	1	0	3.5512	824.1120000000001	840.16	1.0	3.6508	859.248	1059.2	0.8948	-0.2285	-0.2513	0.9405	2.1447	2.5655	-34.869	0.0	26	0.0	0.0		1684	0	0
1702063065085	t	hottub_test_cue_flowerbed_left	0.0	1	0	3.6318	821.2320000000001	839.84	1.0	3.704	858.672	1057.76	0.8948	-0.2251	-0.2495	0.9418	3.2509	2.6204	-34.8295	0.0	26	0.0	0.0		1684	0	0
1702063065093	t	hottub_test_cue_flowerbed_left	0.0	1	0	3.4878	818.0640000000001	840.9599999999999	1.0	3.7136	857.5200000000001	1056.6399999999999	0.8694	-0.2224	-0.2478	0.9429	4.2666	2.6522	-34.7978	0.0	26	0.0	0.0		1684	0	0
1702063065101	t	hottub_test_cue_flowerbed_left	0.0	1	0	3.5745	814.4639999999999	841.44	1.0	3.6725	856.656	1055.36	0.8694	-0.2181	-0.2462	0.9444	4.6762	2.6656	-34.7822	0.0	26	0.0	0.0		1684	0	0
1702063065110	t	hottub_test_cue_flowerbed_left	0.0	1	0	3.497	812.88	840.9599999999999	1.0	3.719	856.08	1054.88	0.876	-0.2157	-0.2454	0.9451	4.6526	2.6659	-34.7816	0.0	26	0.0	0.0		1684	0	0
1702063065118	t	hottub_test_cue_flowerbed_left	0.0	1	0	3.3583	812.592	837.28	1.0	3.7019	851.904	1057.92	0.876	-0.2114	-0.2458	0.946	3.0241	2.599	-34.8265	0.0	26	0.0	0.0		1684	0	0
1702063065126	t	hottub_test_cue_flowerbed_left	0.0	1	0	3.4653	809.856	837.28	1.0	3.6433	849.5999999999999	1058.72	0.8839	-0.2054	-0.2485	0.9466	1.4236	2.5276	-34.8705	0.0	26	0.0	0.0		1684	0	0
1702063065135	t	hottub_test_cue_flowerbed_left	0.0	1	0	3.3659	806.4000000000001	834.56	1.0	3.7132	850.176	1055.8400000000001	0.8839	-0.2052	-0.2411	0.9485	-1.9934	2.372	-34.9756	0.0	26	0.0	0.0		1684	0	0
1702063065143	t	hottub_test_cue_flowerbed_left	0.0	1	0	3.3805	808.56	832.3199999999999	1.0	3.7358	847.5840000000001	1054.4	0.8881	-0.2065	-0.2365	0.9494	-2.1233	2.3721	-34.9754	0.0	26	0.0	0.0		1684	0	0
1702063065151	t	hottub_test_cue_flowerbed_left	0.0	1	0	3.4031	805.248	832.16	1.0	3.7289	844.848	1052.8	0.8881	-0.1983	-0.2369	0.9511	-1.7367	2.4033	-34.9543	0.0	26	0.0	0.0		1684	200	MYKEYWORD 200
